Data;Aula;Dalle;Alle;Ore;Corsi;Moduli;Docente
mercoledì, ottobre 12, 2022;5;9:00;13:00;4;CL2;Sicurezza informatica 2;Armoni Marco
giovedì, ottobre 13, 2022;5;9:00;13:00;4;CL2;Cloud computing;Leccardi Diego
venerdì, ottobre 14, 2022;5;9:00;13:00;4;CL2;Inglese Tecnico 2;Macciotta Caterina
lunedì, ottobre 17, 2022;5;9:00;13:00;4;CL2;Microsoft Azure;Trevisan Giorgio
martedì, ottobre 18, 2022;5;9:00;13:00;4;CL2;Cloud computing;Leccardi Diego
mercoledì, ottobre 19, 2022;5;9:00;13:00;4;CL2;Sicurezza informatica 2;Armoni Marco
giovedì, ottobre 20, 2022;5;9:00;13:00;4;CL2;Soft skill;Maffini Luca
venerdì, ottobre 21, 2022;5;9:00;13:00;4;CL2;Inglese Tecnico 2;Macciotta Caterina
lunedì, ottobre 24, 2022;5;9:00;13:00;4;CL2;Microsoft Azure;Trevisan Giorgio
martedì, ottobre 25, 2022;5;9:00;13:00;4;CL2;Inglese Tecnico 2;Macciotta Caterina
mercoledì, ottobre 26, 2022;6;9:00;13:00;4;CL2;Soft Skill;Maffini Luca
giovedì, ottobre 27, 2022;5;9:00;13:00;4;CL2;Soft Skill;Maffini Luca
venerdì, ottobre 28, 2022;5;9:00;13:00;4;CL2;Inglese Tecnico 2;Macciotta Caterina
mercoledì, novembre 02, 2022;6;9:00;13:00;4;CL2;Microsoft Azure;Trevisan Giorgio
giovedì, novembre 03, 2022;;;;;CL2;;
venerdì, novembre 04, 2022;5;9:00;13:00;4;CL2;Inglese Tecnico 2;Macciotta Caterina
lunedì, novembre 07, 2022;5;9:00;13:00;4;CL2;Microsoft Azure;Trevisan Giorgio
martedì, novembre 08, 2022;5;9:00;13:00;4;CL2;Cloud computing;Leccardi Diego
mercoledì, novembre 09, 2022;;9:00;13:00;;CL2;;
giovedì, novembre 10, 2022;5;9:00;13:00;4;CL2;Inglese Tecnico 2;Macciotta Caterina
venerdì, novembre 11, 2022;5;9:00;13:00;4;CL2;Inglese Tecnico 2;Macciotta Caterina
lunedì, novembre 14, 2022;5;9:00;13:00;4;CL2;Microsoft Azure;Trevisan Giorgio
martedì, novembre 15, 2022;5;9:00;13:00;4;CL2;Cloud computing;Leccardi Diego
mercoledì, novembre 16, 2022;;9:00;13:00;;CL2;;
