BOT START RUNNING...
BOT START RUNNING...
NEW USER | Username: EdivadE00, User_Id: 474852726
Message | Username: EdivadE00, User_Id: 474852726, Text: /start
Message | Username: EdivadE00, User_Id: 474852726, Text: diocane
Message | Username: EdivadE00, User_Id: 474852726, Text: doasjofasbra
Message | Username: EdivadE00, User_Id: 474852726, Text: /diocane
Message | Username: EdivadE00, User_Id: 474852726, Text: /help
Message | Username: EdivadE00, User_Id: 474852726, Text: /today
Message | Username: EdivadE00, User_Id: 474852726, Text: /tomorrow
Message | Username: EdivadE00, User_Id: 474852726, Text: /id
Message | Username: EdivadE00, User_Id: 474852726, Text: /help
NEW USER | Username: EdivadE00, User_Id: 474852726
Message | Username: EdivadE00, User_Id: 474852726, Text: /start
NEW USER | Username: EdivadE00, User_Id: 474852726
Message | Username: EdivadE00, User_Id: 474852726, Text: /start
